gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2020R709,2020,R7,20-Jul-20,Adelaide Oval,7:10 PM,13579,Adelaide,55,St Kilda,78,0.2
2020R708,2020,R7,19-Jul-20,Perth Stadium,4:35 PM,25306,Fremantle,32,West Coast,62,0.4
2020R707,2020,R7,19-Jul-20,Sydney Showground,3:35 PM,750,Hawthorn,48,Melbourne,91,0
2020R706,2020,R7,19-Jul-20,Gabba,1:05 PM,3510,Carlton,61,Port Adelaide,64,0
2020R705,2020,R7,18-Jul-20,Carrara,7:40 PM,4337,Richmond,77,North Melbourne,23,0
2020R704,2020,R7,18-Jul-20,S.C.G.,4:35 PM,6000,Sydney,60,Gold Coast,92,2.8
2020R703,2020,R7,18-Jul-20,Sydney Showground,1:45 PM,3168,Greater Western Sydney,68,Brisbane Lions,88,0
2020R702,2020,R7,17-Jul-20,Carrara,7:50 PM,4949,Essendon,51,Western Bulldogs,93,0
2020R701,2020,R7,16-Jul-20,Perth Stadium,6:10 PM,22077,Geelong,35,Collingwood,57,1
2020R609,2020,R6,12-Jul-20,Carrara,6:45 PM,2178,Carlton,103,Western Bulldogs,51,0
2020R608,2020,R6,12-Jul-20,Gabba,3:35 PM,3606,Richmond,34,Sydney,26,0.2
2020R607,2020,R6,12-Jul-20,Carrara,1:05 PM,368,Port Adelaide,63,Greater Western Sydney,46,0
2020R606,2020,R6,11-Jul-20,Carrara,7:40 PM,4271,Essendon,67,North Melbourne,53,0.8
2020R605,2020,R6,11-Jul-20,Sydney Showground,6:05 PM,250,Melbourne,80,Gold Coast,63,3.6
2020R604,2020,R6,11-Jul-20,Gabba,3:05 PM,210,West Coast,67,Adelaide,34,0.6
2020R603,2020,R6,11-Jul-20,Carrara,12:35 PM,638,Fremantle,79,St Kilda,73,0.8
2020R602,2020,R6,10-Jul-20,Sydney Showground,7:50 PM,1772,Collingwood,59,Hawthorn,27,0.2
2020R601,2020,R6,9-Jul-20,S.C.G.,7:40 PM,1311,Geelong,73,Brisbane Lions,46,0.2
